row_num,csv_parent_path,csv_name,status,message,subcategory_id,db_name_ar,db_name_en,slug,parent_subcategory_id,category_id
141,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford","Tourneo Custom",added,"Created subcategory id 44860",44860,"Tourneo Custom","Tourneo Custom",ford-trucks-trucks-light-trucks-tourneo-custom,38824,1
142,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Ford",Windstar,added,"Created subcategory id 44861",44861,Windstar,Windstar,ford-trucks-trucks-light-trucks-windstar,38824,1
143,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Hyundai",Staria,added,"Created subcategory id 44862",44862,Staria,Staria,hyundai-trucks-light-trucks-staria,38828,1
144,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Kia",Pregio,added,"Created subcategory id 44863",44863,Pregio,Pregio,kia-trucks-light-trucks-pregio,38831,1
145,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz",Citan,added,"Created subcategory id 44864",44864,Citan,Citan,mercedes-benz-trucks-light-trucks-citan,38836,1
146,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz",Sprinter,skipped_exists,"Subcategory already exists under parent (id 39276)",39276,sprinter,Sprinter,sprinter-mercedes-benz-trucks-light-trucks,38836,1
147,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz",Viano,added,"Created subcategory id 44865",44865,Viano,Viano,mercedes-benz-trucks-light-trucks-viano,38836,1
148,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mercedes-Benz",Vito,added,"Created subcategory id 44866",44866,Vito,Vito,mercedes-benz-trucks-light-trucks-vito,38836,1
149,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Mitsubishi Temsa",Canter,added,"Created subcategory id 44867",44867,Canter,Canter,mitsubishi-temsa-trucks-light-trucks-canter,38837,1
150,"المركبات > المركبات التجارية > شاحنات وشاحنات خفيفة > Nissan",Cabstar,added,"Created subcategory id 44868",44868,Cabstar,Cabstar,nissan-trucks-light-trucks-cabstar,38839,1
